publication_year	IARC	UNIGE
2001	0.11347517730496454	0.15213675213675212
2002	0.16428571428571428	0.12876712328767123
2003	0.11900425015179114	0.11521286097052694
2004	0.10747872816838334	0.09904430929626412
2005	0.11997600479904019	0.09354957611500184
2006	0.11768834815161441	0.08196554184932205
2007	0.11523642732049037	0.07666997205444875
2008	0.10133843212237094	0.07192300573755321
2009	0.11352177234530175	0.07041202971626338
2010	0.10209621474890665	0.06595549437944483
2011	0.10629874025194962	0.06862873795584026
2012	0.10390441647109025	0.06780870806566738
2013	0.09568556128119632	0.0613167561458039
2014	0.0904640689250049	0.0611417730251811
2015	0.0948905109489051	0.06015272258171907
2016	0.09530213376367222	0.05740872762748114
2017	0.08914169284319552	0.05969267139479906
2018	0.0944527736131934	0.053763440860215055
2019	0.08443652410047522	0.05289370823351406
2020	0.0827534452176286	0.04940861000119473
