	publication_year	citation_is_oa_count	citations_with_doi	citation_is_oa_percent
0	2001	9802	26475	0.3702360717658168
1	2002	10334	27658	0.3736351146142165
2	2003	10770	28623	0.37627083114977466
3	2004	12274	32118	0.3821533096705897
4	2005	11387	29892	0.38093804362371203
5	2006	14190	37075	0.38273769386378964
6	2007	14632	37087	0.3945317766333217
7	2008	16451	41633	0.39514327576681957
8	2009	20364	47449	0.4291765896014668
9	2010	20633	48134	0.42865749781858975
10	2011	22239	50947	0.43651245411898637
11	2012	25327	56070	0.4517032281077225
12	2013	25453	57653	0.4414861325516452
13	2014	26292	57037	0.46096393569086735
14	2015	27743	58028	0.47809678086441026
15	2016	31171	62274	0.5005459742428622
16	2017	33086	66904	0.4945294750687552
17	2018	36073	70290	0.513202447005264
18	2019	37271	71725	0.5196375043569188
19	2020	45721	83842	0.5453233462942201
