	publication_year	publication_is_oa_count	publications_with_doi	publication_is_oa_percent
0	2001	3663	7757	0.4722186412272786
1	2002	4581	8892	0.5151821862348178
2	2003	3888	9144	0.4251968503937008
3	2004	4499	9096	0.49461301671064206
4	2005	5288	9871	0.5357106676121973
5	2006	5146	10909	0.47172059767164726
6	2007	7505	12623	0.5945496316248119
7	2008	6135	10951	0.560222810702219
8	2009	6374	11716	0.5440423352680096
9	2010	6943	11444	0.6066934638238378
10	2011	9229	12929	0.71382164127156
11	2012	10995	14957	0.7351073076151635
12	2013	10196	14891	0.6847088845611443
13	2014	10530	14966	0.7035948149138046
14	2015	12228	15788	0.7745122878135292
15	2016	13170	16492	0.7985690031530439
16	2017	15056	17525	0.8591155492154066
17	2018	13197	16715	0.789530361950344
18	2019	13982	17340	0.8063437139561707
19	2020	17641	20660	0.8538722168441433
